0.F03032FF.3200.FF0.dab,ABC_SBS_EPG,BR ABC&sbs Radio,Australia,F0,1..8,
0.1234.1006.1F0.dab,2CA,DAB+ CBR Trial,Australia,F0,1..8,
0.1235.1006.1F0.dab,2CC,DAB+ CBR Trial,Australia,F0,1..8,
0.124A.1006.1F0.dab,Buddha Radio,DAB+ CBR Trial,Australia,F0,1..8,
0.1238.1006.1F0.dab,Coles Radio,DAB+ CBR Trial,Australia,F0,1..8,
0.1280.1006.1F0.dab,CRA Test,DAB+ CBR Trial,Australia,F0,1..8,
0.1248.1006.1F0.dab,Hit 104.7,DAB+ CBR Trial,Australia,F0,1..8,
0.1237.1006.1F0.dab,Kix Country,DAB+ CBR Trial,Australia,F0,1..8,
0.1249.1006.1F0.dab,Mix 106.3,DAB+ CBR Trial,Australia,F0,1..8,
0.1236.1006.1F0.dab,My Canberra,DAB+ CBR Trial,Australia,F0,1..8,
0.124B.1006.1F0.dab,The Edge,DAB+ CBR Trial,Australia,F0,1..8,
0.3506.3500.3F0.dab,ABC CANBERRA,CA ABC&SBS RADIO,Australia,F0,1..8,
0.3508.3500.3F0.dab,ABC Classic FM,CA ABC&SBS RADIO,Australia,F0,1..8,
0.3504.3500.3F0.dab,ABC Country,CA ABC&SBS RADIO,Australia,F0,1..8,
0.3505.3500.3F0.dab,ABC KIDS listen,CA ABC&SBS RADIO,Australia,F0,1..8,
0.3509.3500.3F0.dab,ABC Grandstand,CA ABC&SBS RADIO,Australia,F0,1..8,
0.3503.3500.3F0.dab,ABC Jazz,CA ABC&SBS RADIO,Australia,F0,1..8,
0.3501.3500.3F0.dab,ABC NEWS,CA ABC&SBS RADIO,Australia,F0,1..8,
0.3507.3500.3F0.dab,ABCRadioNational,CA ABC&SBS RADIO,Australia,F0,1..8,
0.3502.3500.3F0.dab,Double J,CA ABC&SBS RADIO,Australia,F0,1..8,
0.3D00.3500.3F0.dab,SBS Radio 1,CA ABC&SBS RADIO,Australia,F0,1..8,
0.3D01.3500.3F0.dab,SBS Radio 2,CA ABC&SBS RADIO,Australia,F0,1..8,
0.3D06.3500.3F0.dab,SBS Radio 3,CA ABC&SBS RADIO,Australia,F0,1..8,
0.3D02.3500.3F0.dab,SBS Chill,CA ABC&SBS RADIO,Australia,F0,1..8,
0.3D04.3500.3F0.dab,SBS Arabic24,CA ABC&SBS RADIO,Australia,F0,1..8,
0.3D03.3500.3F0.dab,SBS PopAsia,CA ABC&SBS RADIO,Australia,F0,1..8,
0.3D05.3500.3F0.dab,SBS PopDesi,CA ABC&SBS RADIO,Australia,F0,1..8,
0.3510.3500.3F0.dab,triple j,CA ABC&SBS RADIO,Australia,F0,1..8,
0.3511.3500.3F0.dab,Unearthed,CA ABC&SBS RADIO,Australia,F0,1..8,
0.F0303500.3500.FF0.dab,ABC EPG,CA ABC&SBS RADIO,Australia,F0,1..8,
0.122E.1007.1F0.dab,Classic Rock,DAB+ Darwin,Australia,F0,1..8,
0.122A.1007.1F0.dab,HOT100,DAB+ Darwin,Australia,F0,1..8,
0.122B.1007.1F0.dab,MIX 104.9,DAB+ Darwin,Australia,F0,1..8,
0.122D.1007.1F0.dab,Radio TAB,DAB+ Darwin,Australia,F0,1..8,
